lat,lon,year,coverage,source
32.161313,-119.661163,2013,2.137677,corc
32.186422,-119.565795,2013,2.004210,corc
32.193803,-119.549508,2013,2.880339,corc
32.212252,-119.497938,2013,2.765939,corc
32.214103,-119.345163,2013,2.929147,corc
32.226660,-119.439482,2013,2.711315,corc
32.228725,-119.344350,2013,2.010324,corc
32.232003,-119.295497,2013,2.101077,corc
32.248120,-119.328015,2013,2.764251,corc
32.264933,-119.012023,2013,2.276469,corc
32.270212,-119.001755,2013,2.282465,corc
32.274812,-119.170125,2013,2.727072,corc
32.283248,-118.916515,2013,3.042884,corc
32.284927,-118.996162,2013,2.339091,corc
32.286510,-119.020405,2013,1.914707,corc
32.292015,-119.016040,2013,2.787394,corc
32.292563,-119.008180,2013,2.855453,corc
32.301592,-119.038907,2013,1.944270,corc
32.303013,-119.082800,2013,2.730302,corc
32.304207,-119.030658,2013,2.398825,corc
32.307740,-119.050112,2013,2.808035,corc
32.308705,-119.025047,2013,2.257333,corc
32.310435,-119.050597,2013,2.887197,corc
32.311040,-119.024248,2013,2.636068,corc
32.312905,-118.996570,2013,2.657837,corc
32.313288,-119.006048,2013,2.769334,corc
32.315205,-119.027743,2013,2.613140,corc
32.316020,-118.785430,2013,2.034388,corc
32.316335,-119.071695,2013,2.738336,corc
32.318782,-119.050488,2013,3.056252,corc
32.319015,-119.047535,2013,2.901880,corc
32.319245,-118.791745,2013,3.048409,corc
32.323242,-118.930383,2013,2.051392,corc
32.324018,-119.062125,2013,2.789213,corc
32.326560,-119.091335,2013,2.757543,corc
32.330460,-118.872617,2013,2.939821,corc
32.380493,-118.685007,2013,2.315778,corc
32.387380,-118.686978,2013,3.024149,corc
32.391492,-118.668683,2013,2.328762,corc
32.433543,-118.602638,2013,2.223258,corc
32.517425,-118.459258,2013,2.237083,corc
32.567678,-118.352432,2013,1.936493,corc
32.603948,-118.288930,2013,2.846653,corc
32.615563,-118.293420,2013,2.207592,corc
32.638703,-118.259658,2013,2.854295,corc
32.685452,-118.213700,2013,2.191721,corc
32.739905,-118.114815,2013,2.997280,corc
32.743398,-118.115880,2013,2.272295,corc
32.746812,-118.031818,2013,2.968441,corc
32.748387,-118.123210,2013,3.118228,corc
32.754845,-118.078737,2013,2.528909,corc
32.763712,-118.038475,2013,2.485765,corc
32.780262,-118.000772,2013,2.656471,corc
32.801180,-117.901770,2013,2.488992,corc
32.824695,-117.731217,2013,3.179219,corc
32.873787,-117.289227,2013,2.262168,corc
32.875678,-117.290795,2013,2.321285,corc
32.876387,-117.278342,2013,1.791237,corc
32.878957,-117.277360,2013,1.721036,corc
32.880408,-117.283533,2013,1.855708,corc
32.883562,-117.504005,2013,3.281688,corc
32.915937,-117.351538,2013,1.952889,corc
32.924590,-117.364652,2013,3.034414,corc
32.929763,-117.377860,2013,2.469896,corc
32.933105,-117.382013,2013,1.969853,corc
34.218373,-120.212648,2013,1.998195,corc
34.245132,-120.475365,2013,1.616334,corc
34.252027,-120.482280,2013,2.066407,corc
34.252245,-120.497732,2013,1.577531,corc
34.264367,-120.534842,2013,1.381253,corc
34.284085,-120.089182,2013,2.615207,corc
34.285023,-120.628232,2013,2.164633,corc
34.304963,-120.861113,2013,1.427618,corc
34.315848,-119.924257,2013,2.811618,corc
34.315870,-120.802712,2013,1.953318,corc
34.324908,-120.666165,2013,1.732059,corc
34.326833,-120.710835,2013,2.034410,corc
34.327017,-120.832173,2013,1.898395,corc
34.329442,-120.797573,2013,1.970235,corc
34.331515,-120.822190,2013,2.004537,corc
34.337442,-120.841825,2013,2.316181,corc
34.339597,-120.767257,2013,1.984836,corc
34.339742,-119.810978,2013,2.838982,corc
34.342737,-120.667600,2013,1.779069,corc
34.344180,-120.856275,2013,2.129305,corc
34.344475,-120.770885,2013,1.211910,corc
34.345170,-119.975593,2013,1.595568,corc
34.345487,-120.762857,2013,1.422656,corc
34.346013,-120.854360,2013,1.242517,corc
34.347752,-120.628168,2013,2.179501,corc
34.350385,-120.738893,2013,1.472686,corc
34.350835,-120.826877,2013,1.832434,corc
34.350910,-120.823233,2013,1.628091,corc
